,green_space,pharmacies,education,groceries,perc_pop_white,perc_pop_black,perc_pop_asiapacific,perc_pop_hispanic,perc_pop_indig,perc_pop_otherrace,perc_pop_poverty,perc_hhld_total_w_chld,perc_hhld_single_mother,perc_hhld_nocar,workers_all,urban,equity,C000,scores,disparity
5217,1.663229333,0,0,1,0.7690707350901526,0.023578363384188627,0.13522884882108183,0.07212205270457697,0.0,0.0,0.03398058252427184,0.4602803738317757,0.07710280373831775,0.002336448598130841,766.0,0,1,3064,0.0,0.3456235973068291
5218,0.5712468889,3,0,2,0.8331166016471608,0.047247507585609014,0.01950585175552666,0.07715648027741656,0.0,0.022973558734286952,0.007368877329865626,0.3383458646616541,0.02040816326530612,0.10741138560687433,988.0,0,1,1885,5.375,0.19882940265105875
5219,0.0,0,0,2,0.7535971223021583,0.13848920863309352,0.02158273381294964,0.06654676258992806,0.0,0.019784172661870502,0.0,0.5357142857142857,0.0,0.047619047619047616,376.0,1,0,53,2.792,0.029565757416519345
5220,0.6946404221,1,2,10,0.7504381352961794,0.0,0.1321416053277252,0.09498773221170698,0.0,0.022432527164388365,0.039607430774623205,0.3592938733125649,0.04984423676012461,0.03426791277258567,1544.0,0,0,3689,7.207999999999999,0.01714719271623677
5221,1.243793152,1,0,4,0.49049881235154397,0.19804038004750593,0.11104513064133016,0.1422209026128266,0.0,0.05819477434679335,0.12203087885985749,0.5269230769230769,0.17211538461538461,0.10192307692307692,1654.0,0,0,436,0.0,0.0
5222,2.3695999580000002,0,0,0,0.8589540412044374,0.003169572107765452,0.042789223454833596,0.09064976228209191,0.0,0.0044374009508716325,0.010459587955625991,0.5761658031088083,0.05699481865284974,0.016580310880829015,1526.0,0,0,144,0.0,0.0
5223,1.501897864,0,0,1,0.7310523446019629,0.0188113413304253,0.08219738276990185,0.14558342420937842,0.0,0.022355507088331516,0.03680479825517993,0.48626144879267275,0.06411323896752706,0.04412989175686927,3278.0,0,1,4723,0.0,0.0
5224,0.1585794102,0,0,0,0.665481832543444,0.04186413902053712,0.12440758293838862,0.13744075829383887,0.0,0.030805687203791468,0.022511848341232227,0.34576271186440677,0.0327683615819209,0.004519774011299435,1270.0,0,0,23,0.0,0.0
5225,0.050415786950000006,0,0,0,0.6594516594516594,0.10245310245310245,0.0,0.23809523809523808,0.0,0.0,0.025252525252525252,0.2838709677419355,0.0,0.1010752688172043,738.0,0,0,227,0.0,0.0
5226,6.244015525,2,0,3,0.5403788634097707,0.10418743768693918,0.3424725822532403,0.0,0.0,0.01296111665004985,0.024925224327018942,0.3431952662721893,0.01775147928994083,0.013313609467455622,775.0,0,1,7711,4.5,0.01027367124252021
5227,0.12291957740000001,0,0,0,0.39568094740508536,0.12678509230233367,0.2392894461859979,0.1971438523162661,0.012539184952978056,0.028561476837338905,0.06199930337861372,0.44390243902439025,0.09951219512195122,0.06146341463414634,1393.0,0,0,119,0.0,0.8624805396990141
5228,0.26423732850000003,1,0,1,0.9157706093189965,0.0,0.021505376344086023,0.04181600955794504,0.0,0.02090800477897252,0.08542413381123058,0.13302752293577982,0.01261467889908257,0.03211009174311927,897.0,0,0,1065,4.0,0.24939475849100956
5229,0.2745079638,2,0,3,0.8562162162162162,0.009189189189189189,0.09405405405405405,0.025945945945945945,0.0,0.014594594594594595,0.07621621621621621,0.3358208955223881,0.05373134328358209,0.05373134328358209,846.0,0,0,557,4.0,0.17585954343363486
5230,0.06802931575,0,0,1,0.8517110266159695,0.0,0.11787072243346007,0.024443237370994023,0.0,0.005975013579576317,0.10157523085279739,0.30498533724340177,0.08651026392961877,0.02785923753665689,842.0,0,0,358,0.583,0.18781046567015225
5231,0.1941035076,0,0,0,0.8300865800865801,0.0,0.14339826839826839,0.007575757575757576,0.0,0.01893939393939394,0.020562770562770564,0.49572649572649574,0.06153846153846154,0.08547008547008547,820.0,0,1,401,3.208,0.0
5232,0.6193845034000001,0,0,1,0.7752721617418351,0.01088646967340591,0.008553654743390357,0.2052877138413686,0.0,0.0,0.17418351477449456,0.4406047516198704,0.058315334773218146,0.028077753779697623,707.0,0,0,1615,0.0,0.0
5233,0.2368776956,0,0,1,0.8051795173631549,0.06827545615067687,0.0,0.12654502648616833,0.0,0.0,0.10064743967039436,0.26040061633281975,0.046224961479198766,0.02465331278890601,1089.0,0,0,66,0.0,0.07758396250976307
5234,0.3300961902,0,0,0,0.8492943548387096,0.0005040322580645161,0.021673387096774195,0.10332661290322581,0.025201612903225805,0.0,0.046370967741935484,0.24561403508771928,0.04093567251461988,0.023391812865497075,1122.0,0,0,47,0.0,0.0012967365463583125
5235,1.647350609,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.2336065573770492,0.0,0.010245901639344262,749.0,0,0,79,0.0,0.0
5236,1.114246219,0,0,0,0.785983915969145,0.0608895453799442,0.05137042507795831,0.07894304940095191,0.0,0.022813064172000658,0.014771048744460856,0.5376157407407407,0.03587962962962963,0.010416666666666666,2826.0,0,0,3376,0.0,0.0
5237,0.03818442445,0,0,1,0.46074600355239786,0.05044404973357016,0.0,0.4422735346358792,0.0,0.046536412078152754,0.09875666074600355,0.38910505836575876,0.1517509727626459,0.007782101167315175,1678.0,0,0,2123,0.0,0.16154970760233922
5238,0.01940162948,0,0,2,0.6586237712243074,0.0420017873100983,0.257372654155496,0.03038427167113494,0.0,0.01161751563896336,0.07387548406315163,0.168141592920354,0.017146017699115043,0.22289823008849557,2116.0,1,0,4704,45.167,0.12922714137281643
5239,0.0,0,0,0,0.5714285714285714,0.09443777511004402,0.16886754701880752,0.10804321728691477,0.0,0.05722288915566227,0.16526610644257703,0.11736716891356067,0.0190325138778747,0.4218873909595559,1646.0,1,0,471,88.333,0.10422547484248568
5240,0.0005666071528,0,0,2,0.1263219741480611,0.00881316098707403,0.018213866039952998,0.8466509988249119,0.0,0.0,0.2990599294947121,0.3695652173913043,0.1956521739130435,0.27865612648221344,660.0,1,1,514,34.375,0.10476737817134929
5241,0.02028841321,0,0,3,0.05095890410958904,0.4389041095890411,0.0,0.4778082191780822,0.0,0.03232876712328767,0.393972602739726,0.269774011299435,0.10028248587570622,0.5692090395480226,502.0,1,1,619,18.833,0.14300893861740704
5242,0.09686853331,2,0,1,0.13945989520354696,0.2708585247883918,0.002015316404675534,0.5824264409512293,0.0,0.005239822652156389,0.07779121322047561,0.4993252361673414,0.09176788124156546,0.07152496626180836,942.0,1,1,103,13.583,0.02543987195527453
