,BG_ID,GR_AC,HO,PH,UC,ED,GO,POP_TOTAL,WH,BL,AS,HI,IN,OR,PO,HHLD_TOTAL,CH,SM,NC,WORKERS_ALL,WORKERS_ESSENTIAL,ER,UR,EQ,JO,FARE_NO,FARE_YES,DISPARITY,P_WH,P_BL,P_AS,P_HI,P_IN,P_OR,AREA_KM2,DENSITY,GR_M2,CE01,SC00,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09
3771,170318273002,0.0,0,0,0,0,1,918,14,700,0,187,0,17,434,298,115,87,74,372.0,206.0,1,1,1,87,55998.5,24782.5,2.2595985069999998,0.01525054466,0.7625272331,0.0,0.20370370370000002,0.0,0.01851851852,0.409,2244.498778,0.0,39,16.833333333333332,16.833333333333332,17361.5,55998.5,410829.0,300225.299,3154.5,14066.0,71530.0,56458.359000000004
3772,170318255032,0.0,0,0,0,0,0,1094,20,1074,0,0,0,0,94,398,165,98,20,428.0,232.0,1,1,1,28,21640.0,11276.0,1.919120255,0.01828153565,0.9817184644,0.0,0.0,0.0,0.0,0.483,2265.010352,0.0,14,2.0,2.0,6022.5,21640.0,56203.5,45826.999,1985.0,6280.0,15852.0,13084.542
3773,170318246012,0.34631375600000003,0,1,0,0,1,902,777,81,0,44,0,0,108,418,94,20,2,554.0,288.0,1,1,1,197,34635.0,23664.5,1.4635846940000001,0.8614190687000001,0.08980044346,0.0,0.0487804878,0.0,0.0,1.454,620.3576341,1401.483287,66,2.958333333333333,2.958333333333333,11836.0,34635.0,97676.0,92582.42800000001,4000.5,9871.0,27019.0,24269.832000000002
3774,170318236051,0.014084865249999998,0,1,0,1,2,1889,1673,52,52,100,6,6,214,610,81,0,32,906.0,421.0,1,0,0,908,9965.5,6493.5,1.534688535,0.8856537851,0.02752779248,0.02752779248,0.05293806247,0.003176283748,0.003176283748,1.767,1069.043577,56.99947777,417,2.833333333333333,2.833333333333333,4389.0,9965.5,31504.5,36295.816,1367.0,3055.5,9294.5,9719.748
3775,170318231021,2.3840387030000003,0,2,0,0,5,1960,1504,20,10,376,0,50,186,696,250,52,43,1077.0,570.0,1,1,1,664,17075.5,11433.0,1.4935275080000001,0.7673469387999999,0.010204081629999999,0.005102040816,0.19183673469999998,0.0,0.02551020408,2.28,859.6491228,9647.870866,236,2.9166666666666665,2.9166666666666665,2914.0,17075.5,68360.0,58939.777,1061.5,5109.0,17729.5,15678.803999999998
3776,170318250002,2.3558250640000002,0,0,0,0,0,1287,630,310,42,280,0,25,256,635,93,40,26,688.0,365.0,1,0,0,409,25807.0,18076.0,1.42769418,0.48951048950000003,0.2408702409,0.032634032630000004,0.21756021760000002,0.0,0.019425019430000003,1.841,699.0765888,9533.694217,83,7.375,7.375,3686.0,25807.0,76049.5,144097.366,1475.0,8240.5,22920.5,30721.422000000002
3777,170318232002,0.41939394950000003,0,1,0,0,2,2720,1823,87,90,720,0,0,270,952,350,132,29,1305.0,662.0,1,1,1,8904,28340.0,17168.5,1.6506974980000002,0.6702205882,0.03198529412,0.03308823529,0.2647058824,0.0,0.0,5.824,467.032967,1697.2285980000001,1234,3.333333333333333,3.333333333333333,15297.0,28340.0,70045.0,68742.66,3314.5,7558.5,20331.5,17892.78
3778,171978837002,0.0,0,0,0,0,4,688,539,16,0,124,0,9,55,362,44,14,14,369.0,191.0,1,1,0,281,10760.5,6582.0,1.634837435,0.7834302326,0.02325581395,0.0,0.1802325581,0.0,0.013081395349999999,0.462,1489.1774890000002,0.0,96,1.5416666666666667,1.5416666666666667,3660.5,10760.5,33671.5,23426.886000000002,911.0,2687.5,7113.5,5688.718000000001
3779,171978802023,0.13981820960000002,0,0,0,0,1,2612,1573,77,118,844,0,0,69,788,309,61,62,1113.0,593.0,1,0,0,2236,10379.5,10379.5,1.0,0.6022205207,0.02947932619,0.045176110260000006,0.32312404289999996,0.0,0.0,4.541,575.2036996,565.8247196000001,265,1.4166666666666667,1.4166666666666667,9262.0,10379.5,19826.0,23470.59,1339.5,1791.5,4103.0,5339.821
3780,171978802021,3.474658653,0,1,0,0,3,549,517,0,6,26,0,0,0,213,55,0,17,325.0,168.0,1,0,1,7525,7525.0,7525.0,1.0,0.9417122040000001,0.0,0.01092896175,0.047358834239999995,0.0,0.0,22.171999999999997,24.76095977,14061.45712,831,2.9166666666666665,2.9166666666666665,7525.0,7525.0,7683.0,8764.72,831.0,831.0,902.0,1464.7089999999998
